ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
2021-01-04,3244000,125019000,39.0,39.0,38.35,38.45,-0.45,1736
2021-01-05,4952000,195225000,38.45,39.95,38.45,39.95,1.5,2696
2021-01-06,4341000,171553000,40.25,40.5,38.75,39.1,-0.85,2392
2021-01-07,1976000,77335000,39.2,39.55,38.7,39.35,0.25,1103
2021-01-08,3395000,130875000,38.8,38.9,38.3,38.65,-0.7,1940
2021-01-11,3181000,121456000,38.6,38.8,37.8,38.05,-0.6,1720
2021-01-12,2295000,86933000,38.05,38.6,37.55,37.6,-0.45,1317
2021-01-13,1497000,56524000,37.6,38.0,37.6,37.65,0.05,855
2021-01-14,1497000,57230000,37.8,38.5,37.8,38.25,0.6,889
2021-01-15,1862000,70435000,38.25,38.5,37.55,37.6,-0.65,1043
2021-01-18,2062000,77738000,37.3,38.3,36.95,38.1,0.5,1123
2021-01-19,3202000,123632000,38.1,39.0,37.9,39.0,0.9,2046
2021-01-20,13660000,544106000,39.35,40.95,38.7,39.0,0.0,7527
2021-01-21,6351000,252416000,39.95,40.5,38.8,39.95,0.95,3251
2021-01-22,3322000,132081000,40.15,40.2,39.25,39.85,-0.1,1791
2021-01-25,3280000,128399000,39.95,40.0,38.5,39.3,-0.55,1602
2021-01-26,6275000,250577000,39.4,40.65,39.35,39.4,0.1,3296
2021-01-27,2147000,85264000,39.85,40.1,39.25,39.75,0.35,1263
2021-01-28,3557000,140099000,39.25,40.2,38.9,39.05,-0.7,1996
2021-01-29,2271000,87684000,39.25,39.45,37.9,38.35,-0.7,1316
2021-02-01,1130000,43117000,38.5,38.55,37.6,38.2,-0.15,662
2021-02-02,1566000,59683000,38.3,38.55,37.9,38.0,-0.2,943
2021-02-03,907000,34528000,38.35,38.35,37.9,37.95,-0.05,537
2021-02-04,677000,25708000,37.85,38.2,37.8,37.95,0.0,418
2021-02-05,2173000,82961000,38.0,38.45,37.85,38.05,0.1,840
2021-02-17,2151000,81758000,38.1,38.35,37.7,38.35,0.3,1179
2021-02-18,1482000,57085000,38.45,38.8,38.2,38.45,0.1,830
2021-02-19,3607000,141411000,38.5,39.7,38.5,39.4,0.95,2182
2021-02-22,2410000,95045000,39.5,39.65,39.15,39.55,0.15,1237
2021-02-23,14646000,608938000,39.3,43.5,39.1,43.5,3.95,7250
