ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
2020-01-02,33282120,11224165450,332.5,339.0,332.5,339.0,8.0,17160
2020-01-03,42023268,14295651580,344.0,345.0,335.5,339.5,0.5,20545
2020-01-06,45677057,15210531318,333.0,334.5,332.0,332.0,-7.5,22944
2020-01-07,51746181,17053282011,332.5,333.0,326.5,329.5,-2.5,22362
2020-01-08,37913748,12484410088,325.0,333.0,325.0,329.5,0.0,18228
2020-01-09,32397504,10890847940,335.0,337.5,333.5,337.5,8.0,16793
2020-01-10,27880115,9432320316,340.5,341.0,336.0,339.5,2.0,13296
2020-01-13,30663332,10455852739,342.0,342.0,339.0,341.5,2.0,13457
2020-01-14,30368993,10488360978,345.5,346.0,344.5,346.0,4.5,16339
2020-01-15,54575274,18590754206,345.0,345.0,337.5,340.0,-6.0,20392
2020-01-16,58217420,19431133895,330.0,336.5,330.0,334.5,-5.5,24721
2020-01-17,53908097,17977119406,334.0,335.5,332.0,333.0,-1.5,23954
2020-01-20,35551203,11865436839,334.0,335.5,333.0,333.0,0.0,15095
2020-01-30,126820049,40734449874,326.0,326.0,316.5,316.5,-16.5,55603
2020-01-31,62912055,20205365710,323.0,323.5,319.0,320.0,3.5,22639
2020-02-03,59711849,18782694826,315.0,316.5,312.0,315.0,-5.0,26483
2020-02-04,52208496,16882411296,319.0,326.0,318.0,325.0,10.0,22587
2020-02-05,36601453,11985817083,329.0,329.5,324.5,327.5,2.5,16656
2020-02-06,29659094,9803038836,329.5,332.5,329.0,332.5,5.0,14246
2020-02-07,30055327,9869903253,330.0,330.5,326.0,328.0,-4.5,13075
2020-02-10,30814424,10024967927,321.5,328.0,321.0,327.5,-0.5,14825
2020-02-11,29062935,9629938182,330.5,332.5,330.0,331.5,4.0,12766
2020-02-12,37612639,12593082711,333.5,336.0,333.0,335.0,3.5,17394
2020-02-13,23217021,7805299096,338.0,338.0,335.0,335.0,0.0,12563
2020-02-14,18326683,6155862838,337.0,337.0,334.5,335.0,0.0,7881
2020-02-17,16145079,5354339726,331.5,333.0,330.5,331.5,-3.5,9747
2020-02-18,64662604,20957801150,324.5,326.5,322.0,322.0,-9.5,36520
2020-02-19,48856218,15881609046,322.5,327.0,322.0,326.5,4.5,16003
2020-02-20,27061736,8832642641,328.0,329.0,325.0,325.5,-1.0,11695
2020-02-21,22974534,7463007621,325.5,326.5,323.0,325.0,-0.5,9342
2020-02-24,42946680,13754512932,319.5,321.5,319.5,320.0,-5.0,18902
2020-02-25,38674011,12425785349,320.0,323.5,317.5,322.0,2.0,17366
2020-02-26,60768362,19341695595,317.0,320.5,316.5,318.5,-3.5,24310
2020-02-27,62401927,19756146876,319.0,320.0,315.0,316.0,-2.5,20633
2020-03-02,86372942,26864484400,308.0,317.0,308.0,311.0,-5.0,35320
2020-03-03,55169411,17534766696,318.5,320.0,316.0,317.5,6.5,20713
2020-03-04,44745146,14304795666,322.0,322.0,317.0,320.5,3.0,16118
2020-03-05,38223525,12392618100,325.0,326.0,323.0,323.0,2.5,15107
2020-03-06,52807760,16733485610,320.0,320.5,315.0,315.0,-8.0,24175
2020-03-09,88633277,27236002054,307.5,310.0,305.5,305.5,-9.5,44882
2020-03-10,74869130,22727941511,301.5,309.0,301.0,307.0,1.5,30268
2020-03-11,64923710,19913151529,309.0,310.5,302.0,302.0,-5.0,27176
2020-03-12,114173351,33544278206,299.0,299.0,287.0,294.0,-8.0,56989
2020-03-13,151268148,42448997546,275.0,294.0,272.5,290.0,-4.0,71990
2020-03-16,103933228,29343288916,285.0,291.0,275.5,276.5,-13.5,51292
2020-03-17,122409651,32936712540,265.0,276.5,265.0,268.0,-8.5,57123
2020-03-18,118620643,31555231792,269.5,272.5,260.0,260.0,-8.0,53985
2020-03-19,160811697,39559889553,252.0,253.0,235.5,248.0,0.0,77302
2020-03-20,159179726,42110816042,258.5,270.0,256.0,270.0,22.0,69829
2020-03-23,76963709,19851467203,257.0,262.5,252.0,255.0,-15.0,41621
2020-03-24,82377933,22207033614,268.0,274.0,266.0,267.5,12.5,41077
2020-03-25,80514199,22368633590,276.5,280.0,274.0,277.0,9.5,40932
2020-03-26,54189633,15108299935,279.5,280.0,275.5,280.0,3.0,27648
2020-03-27,69320306,19324060590,284.0,286.0,273.0,273.0,-7.0,36025
2020-03-30,53403956,14205364184,263.5,269.0,262.5,267.5,-5.5,27779
2020-03-31,53901923,14712557472,273.0,274.0,269.5,274.0,6.5,20343
2020-04-01,47572034,13022612818,276.5,276.5,271.5,271.5,-2.5,19580
2020-04-06,59712754,16324198154,273.0,275.5,270.0,275.5,4.0,19971
2020-04-07,48887346,13817936851,283.5,284.0,280.5,283.0,7.5,24281
2020-04-08,38698826,11016972354,285.0,285.5,283.0,285.0,2.0,19126
2020-04-09,29276430,8346209654,287.5,288.0,282.5,283.0,-2.0,15271
2020-04-10,28206858,7894277586,280.0,282.0,279.0,279.5,-3.5,15833
2020-04-13,22196596,6202532380,278.5,281.5,278.5,278.5,-1.0,12809
2020-04-14,50196688,14268689661,281.0,285.5,280.0,285.0,6.5,22214
2020-04-15,58561434,16819851630,287.0,288.5,286.0,287.5,2.5,25696
2020-04-16,48257280,13813721932,283.0,288.5,283.0,286.5,-1.0,19084
2020-04-17,117447201,35719172728,303.5,308.5,300.5,306.5,20.0,60873
2020-04-20,44586860,13605802989,308.0,309.0,302.5,304.0,-2.5,21791
2020-04-21,61949357,18417786171,300.5,301.5,293.5,295.0,-9.0,39043
2020-04-22,43568580,12746170556,294.5,295.0,290.5,294.0,-1.0,25176
2020-04-23,39977278,11864085990,300.0,300.0,294.0,295.5,1.5,18541
2020-04-24,26465090,7799075756,295.5,297.0,294.0,294.0,-1.5,13661
2020-04-27,38493406,11461378300,298.0,298.5,296.0,298.0,4.0,15916
2020-04-28,37621165,11134919970,298.5,298.5,294.5,296.5,-1.5,18214
2020-04-29,46253301,13861245296,299.0,301.5,298.0,299.0,2.5,21633
2020-04-30,58439085,17753466901,302.0,305.0,301.5,304.5,5.5,26219
